Frame,Time,Head / localX,Head / localY,Head / localZ,Head / localDistChanged,Head / local ThetaX,Head / local ThetaY,Head / local ThetaZ,Right Arm / localX,Right Arm / localY,Right Arm / localZ,Right Arm / localDistChanged,Right Arm / local ThetaX,Right Arm / local ThetaY,Right Arm / local ThetaZ,Left Arm / localX,Left Arm / localY,Left Arm / localZ,Left Arm / localDistChanged,Left Arm / local ThetaX,Left Arm / local ThetaY,Left Arm / local ThetaZ
Frame 78,00:00:03:250000:78f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,133.50532272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 79,00:00:03:291666:79f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,135.07130751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 80,00:00:03:333333:80f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,136.53176588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 81,00:00:03:375000:81f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,137.8942247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 82,00:00:03:416666:82f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,139.16567807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 83,00:00:03:458333:83f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,140.35247808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 84,00:00:03:500000:84f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,141.46040306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 85,00:00:03:541666:85f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,142.49483521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 86,00:00:03:583333:86f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,143.46065128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 87,00:00:03:625000:87f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,144.36222259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 88,00:00:03:666666:88f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,145.20367458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 89,00:00:03:708333:89f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,145.98866822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 90,00:00:03:750000:90f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,146.72057763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 91,00:00:03:791666:91f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,147.4024081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 92,00:00:03:833333:92f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,148.03693267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 93,00:00:03:875000:93f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,148.62661022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 94,00:00:03:916666:94f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,149.17373569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 95,00:00:03:958333:95f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,149.68034449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 96,00:00:04:000000:96f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,150.14819878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 97,00:00:04:041666:97f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,150.57892417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 98,00:00:04:083333:98f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,150.97395499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 99,00:00:04:125000:99f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,151.33449336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 100,00:00:04:166666:100f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,151.66167308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 101,00:00:04:208333:101f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,151.95628646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 102,00:00:04:250000:102f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,152.21918044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 103,00:00:04:291666:103f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,152.45090144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 104,00:00:04:333333:104f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,152.6518456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 105,00:00:04:375000:105f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,152.82235445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 106,00:00:04:416666:106f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,152.96244163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 107,00:00:04:458333:107f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,153.07209348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 108,00:00:04:500000:108f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,153.15102315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 109,00:00:04:541666:109f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,153.19887546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
